flag,year,cattle_afflicted,cattle_treated,cattle_death_disease,cattle_death_other,cattle_vac_total,cattle_vac_anthrax,cattle_vac_blackleg,cattle_vac_pleuro_pneumonia,cattle_vac_hemorrhagic_septicemia,cattle_vac_rinderpest,cattle_vac_other,total_deaths,male_deaths,female_deaths,region,
TI,2006,229370,80840,113088,59670,1402074,501700,388801,165557,226257,24646,95113,172758,74337,98421,0
TI,2007,243483,119306,93039,49774,1700878,555437,617858,239270,112162,35239,140913,142813,64461,78352,0
TI,2008,353110,187789,128271,72805,1206817,490809,519186,398622,80581,138262,57973,201076,88020,113056,0
TI,2009,474887,231067,239379,102275,1837917,691165,620138,273085,132987,-1,109880,341654,145461,196193,0
TI,2010,407002,165422,180538,71528,1898172,651533,647556,336044,155669,0,107370,252067,112764,139303,0
TI,2011,346303,122990,129903,70150,2126141,835576,688353,270767,159317,0,240895,200054,91099,108954,0
TI,2012,538229,171436,138621,68475,2689789,1004281,881114,366337,306609,0,131448,207096,88470,118626,0
TI,2013,394465,154132,150392,-1,2751622,969081,896863,618544,169690,0,97445,344673,103568,241105,0
TI,2014,449286,270924,119525,64430,3573180,1140937,1387372,439120,374169,0,231583,183955,83578,100377,0
TI,2015,395442,178011,130271,81809,3713766,1272859,1264698,663186,292837,0,220186,213803,93031,120772,0
TI,2016,405817,143152,173675,103566,4534973,1386984,1745897,797202,346927,0,257964,277241,124434,152807,0
TI,2017,486227,254415,119489,93890,5481294,1958729,1499212,983340,791172,0,248841,213379,102599,110780,0
TI,2018,580519,259370,161077,89002,4352594,1340602,1247963,857525,582420,0,324084,250079,102983,147095,0
TI,2019,228723,92590,65036,46043,2367229,1063662,560268,585128,382478,0,516194,111079,56736,54343,0
TI,2020,228723,92590,65036,46043,2367229,1063662,560268,585128,382478,0,0,111079,56736,54343,0
